file,number_nodes,number_groups,average_degree,non-cluster_one_suspect_one,non-cluster_every_suspect_same_one,non-cluser_every_suspect_every,cluster_one_suspect_node,cluster_every_suspect_same_one,cluster_every_suspect_every
avg_clusters_avg_leaders_100_10.txt,100,10,3.1,1,4,4,3,17,29
avg_clusters_avg_leaders_100_15.txt,100,7,3.07,1,4,4,3,5,44
avg_clusters_avg_leaders_100_5.txt,100,20,3.2,1,4,4,3,5,14
avg_clusters_avg_leaders_150_10.txt,150,15,3.1,1,4,4,3,5,29
avg_clusters_avg_leaders_150_15.txt,150,10,3.066666666666667,1,4,4,3,23,44
avg_clusters_avg_leaders_150_5.txt,150,30,3.2,1,4,4,3,5,14
avg_clusters_avg_leaders_50_10.txt,50,5,3.1,4,4,4,3,23,29
avg_clusters_avg_leaders_50_15.txt,50,4,3.08,1,4,4,3,20,44
avg_clusters_avg_leaders_50_5.txt,50,10,3.2,1,4,4,3,5,14
avg_clusters_full_leaders_100_10.txt,100,10,3.25,1,4,4,3,17,29
avg_clusters_full_leaders_100_15.txt,100,7,3.07,1,4,4,3,5,44
avg_clusters_full_leaders_100_5.txt,100,20,4.5,1,4,4,3,5,14
avg_clusters_full_leaders_150_10.txt,150,15,3.5,1,4,4,3,5,29
avg_clusters_full_leaders_150_15.txt,150,10,3.1666666666666665,1,4,4,3,23,44
avg_clusters_full_leaders_150_5.txt,150,30,5.5,1,4,4,3,5,14
avg_clusters_full_leaders_50_10.txt,50,5,3.0,4,4,4,3,23,29
avg_clusters_full_leaders_50_15.txt,50,4,2.96,1,4,4,3,20,44
avg_clusters_full_leaders_50_5.txt,50,10,3.5,1,4,4,3,5,14
chain_100_10.txt,100,10,0.99,223,223,295,50,50,62
chain_100_15.txt,100,7,0.99,223,223,295,38,38,44
chain_100_5.txt,100,20,0.99,223,223,295,98,98,122
chain_150_10.txt,150,15,0.9933333333333333,334,334,445,74,74,92
chain_150_15.txt,150,10,0.9933333333333333,334,334,445,50,50,62
chain_150_5.txt,150,30,0.9933333333333333,334,334,445,140,140,182
chain_50_10.txt,50,5,0.98,109,109,145,26,26,32
chain_50_15.txt,50,4,0.98,109,109,145,20,20,26
chain_50_5.txt,50,10,0.98,109,109,145,50,50,62
chain_clusters_fully_connected_100_10.txt,100,10,1.54,1,4,4,3,8,8
chain_clusters_fully_connected_100_15.txt,100,7,1.27,1,4,4,3,8,8
chain_clusters_fully_connected_100_5.txt,100,20,3.09,1,4,4,3,8,8
chain_clusters_fully_connected_150_10.txt,150,15,1.7933333333333332,1,4,4,3,8,8
chain_clusters_fully_connected_150_15.txt,150,10,1.36,1,4,4,3,8,8
chain_clusters_fully_connected_150_5.txt,150,30,4.093333333333334,1,4,4,3,8,8
chain_clusters_fully_connected_50_10.txt,50,5,1.28,1,4,4,3,8,8
chain_clusters_fully_connected_50_15.txt,50,4,1.18,1,4,4,3,8,8
chain_clusters_fully_connected_50_5.txt,50,10,2.08,1,4,4,3,8,8
fully_connected_100_10.txt,100,10,49.5,1,1,3,3,5,5
fully_connected_100_15.txt,100,7,49.5,1,1,3,3,5,5
fully_connected_100_5.txt,100,20,49.5,1,1,3,3,5,5
fully_connected_150_10.txt,150,15,74.5,1,1,3,3,5,5
fully_connected_150_15.txt,150,10,74.5,1,1,3,3,5,5
fully_connected_150_5.txt,150,30,74.5,1,1,3,3,5,5
fully_connected_50_10.txt,50,5,24.5,1,1,3,3,5,5
fully_connected_50_15.txt,50,4,24.5,1,1,3,3,5,5
fully_connected_50_5.txt,50,10,24.5,1,1,3,3,5,5
full_clusters_avg_leaders_100_10.txt,100,10,9.5,4,4,4,6,6,6
full_clusters_avg_leaders_100_15.txt,100,7,8.5,4,4,4,6,6,6
full_clusters_avg_leaders_100_5.txt,100,20,42.0,4,4,4,6,6,6
full_clusters_avg_leaders_150_10.txt,150,15,15.8,4,4,4,6,6,6
full_clusters_avg_leaders_150_15.txt,150,10,10.333333333333334,4,4,4,6,6,6
full_clusters_avg_leaders_150_5.txt,150,30,92.0,4,4,4,6,6,6
full_clusters_avg_leaders_50_10.txt,50,5,5.8,4,4,4,6,6,6
full_clusters_avg_leaders_50_15.txt,50,4,7.14,4,4,4,6,6,6
full_clusters_avg_leaders_50_5.txt,50,10,12.0,4,4,4,6,6,6
full_clusters_full_leaders_100_10.txt,100,10,4.95,4,5,5,3,6,6
full_clusters_full_leaders_100_15.txt,100,7,6.96,1,4,5,3,6,6
full_clusters_full_leaders_100_5.txt,100,20,3.9,1,4,5,3,6,6
full_clusters_full_leaders_150_10.txt,150,15,5.2,4,5,5,3,6,6
full_clusters_full_leaders_150_15.txt,150,10,7.3,4,5,5,3,6,6
full_clusters_full_leaders_150_5.txt,150,30,4.9,4,5,5,3,6,6
full_clusters_full_leaders_50_10.txt,50,5,4.7,4,5,5,3,6,6
full_clusters_full_leaders_50_15.txt,50,4,6.62,4,5,5,3,6,6
full_clusters_full_leaders_50_5.txt,50,10,2.9,4,5,5,3,6,6
